year,city,country,avg_temp,,interval=6,interval=20
1955,Los Angeles,United States,15.34,,15.72666667,15.784
1956,Los Angeles,United States,15.7,,15.64333333,15.739
1957,Los Angeles,United States,15.8,,15.65,15.745
1958,Los Angeles,United States,16.7,,15.87833333,15.7855
1959,Los Angeles,United States,17.05,,16.10666667,15.823
1960,Los Angeles,United States,16.31,,16.15,15.812
1961,Los Angeles,United States,16.21,,16.295,15.8415
1962,Los Angeles,United States,15.62,,16.28166667,15.834
1963,Los Angeles,United States,15.73,,16.27,15.8145
1964,Los Angeles,United States,15.28,,16.03333333,15.827
1965,Los Angeles,United States,15.34,,15.74833333,15.809
1966,Los Angeles,United States,15.99,,15.695,15.826
1967,Los Angeles,United States,15.92,,15.64666667,15.823
1968,Los Angeles,United States,15.89,,15.69166667,15.863
1969,Los Angeles,United States,15.79,,15.70166667,15.8845
1970,Los Angeles,United States,16,,15.82166667,15.8745
1971,Los Angeles,United States,15.26,,15.80833333,15.8495
1972,Los Angeles,United States,15.96,,15.80333333,15.881
1973,Los Angeles,United States,15.51,,15.735,15.8725
1974,Los Angeles,United States,15.85,,15.72833333,15.8625
1975,Los Angeles,United States,15.12,,15.61666667,15.8515
1976,Los Angeles,United States,16.18,,15.64666667,15.8755
1977,Los Angeles,United States,16.26,,15.81333333,15.8985
1978,Los Angeles,United States,16.01,,15.82166667,15.864
1979,Los Angeles,United States,15.88,,15.88333333,15.8055
1980,Los Angeles,United States,16.23,,15.94666667,15.8015
1981,Los Angeles,United States,16.89,,16.24166667,15.8355
1982,Los Angeles,United States,15.44,,16.11833333,15.8265
1983,Los Angeles,United States,16.2,,16.10833333,15.85
1984,Los Angeles,United States,16.76,,16.23333333,15.924
1985,Los Angeles,United States,15.96,,16.24666667,15.955
1986,Los Angeles,United States,16.5,,16.29166667,15.9805
1987,Los Angeles,United States,16.09,,16.15833333,15.989
1988,Los Angeles,United States,16.44,,16.325,16.0165
1989,Los Angeles,United States,16.36,,16.35166667,16.045
1990,Los Angeles,United States,16.37,,16.28666667,16.0635
1991,Los Angeles,United States,16,,16.29333333,16.1005
1992,Los Angeles,United States,16.79,,16.34166667,16.142
1993,Los Angeles,United States,16.36,,16.38666667,16.1845
1994,Los Angeles,United States,16.29,,16.36166667,16.2065
1995,Los Angeles,United States,16.64,,16.40833333,16.2825
1996,Los Angeles,United States,17.08,,16.52666667,16.3275
1997,Los Angeles,United States,16.93,,16.68166667,16.361
1998,Los Angeles,United States,15.37,,16.445,16.329
1999,Los Angeles,United States,16.12,,16.405,16.341
2000,Los Angeles,United States,16.64,,16.46333333,16.3615
2001,Los Angeles,United States,16.47,,16.435,16.3405
2002,Los Angeles,United States,16.43,,16.32666667,16.39
2003,Los Angeles,United States,16.94,,16.32833333,16.427
2004,Los Angeles,United States,16.55,,16.525,16.4165
2005,Los Angeles,United States,16.43,,16.57666667,16.44
2006,Los Angeles,United States,16.62,,16.57333333,16.446
2007,Los Angeles,United States,16.7,,16.61166667,16.4765
2008,Los Angeles,United States,17.01,,16.70833333,16.505
2009,Los Angeles,United States,16.68,,16.665,16.521
2010,Los Angeles,United States,15.89,,16.555,16.497
2011,Los Angeles,United States,15.87,,16.46166667,16.4905
2012,Los Angeles,United States,17.09,,16.54,16.5055
2013,Los Angeles,United States,18.12,,16.77666667,16.5935
